fen,best
1nbk2n1/r1qp4/1pp1Q2r/p3b1p1/P1P1pp1p/BP2P1PN/3P1PRP/RN2KB2 w - - 6 18,e6g8
8/8/8/8/7N/2b2Q2/7k/3K4 w - - 47 177,f3g2
r1b2br1/7p/pqpp1Pkn/3Bp1P1/1p1n2Q1/1PP2N2/N4PP1/R1B1K2R w - - 5 26,f3h4
5bn1/3b3r/2p1k3/pP2p2Q/4P1p1/B1Nn3R/R5PK/8 w - - 3 50,h5f5
1k3b2/4R3/4P2p/1P1pPNpP/r5Pn/2QP4/6B1/2R1K3 w - - 7 57,c3c8
2qk1bnr/r1p1p1pp/n2N1pQ1/3P4/p4P2/P4N1b/1PP1P1PR/R1B1KB2 w Q - 3 15,g6e8
r1bqkb1r/pp1pnp1p/2p4n/1N4p1/PP4P1/5p2/2PPP2P/R1BQKBNR w Kkq - 0 10,b5d6
rn2kbnr/2p1pp2/p5p1/1p2q2p/P5Q1/1P1K1P1B/2PPP2P/R1B3NR w kq - 3 18,g4c8
3N4/Q7/6kp/4p1P1/3P3P/P4Np1/1r1N4/1R1nK3 w - - 1 64,a7f7
1nbqk2r/1ppp3p/r3n3/p3b1Q1/2PNB2P/BP3P2/P5P1/R3K1NR w k - 3 23,g5h5
r6r/p2p2np/k7/1pP1n1pR/P1Q5/3B2P1/6K1/8 w - - 0 39,c4b5
7R/1r4k1/2R5/2p1N1B1/1rp4P/P1P5/4q3/K3N3 w - - 11 65,g5f6
rnbqkb2/2ppp1Q1/5p2/pp4Bp/2P5/Pn6/1P2NPPP/RN1K1B1R w q - 0 10,g7g6
2k5/4Q3/8/1P1n2r1/1n6/6BP/4N1P1/R3K1R1 w - - 1 59,a1a8
7k/8/6K1/8/8/8/8/3R4 w - - 3 131,d1d8
7Q/8/2n4N/8/8/1k1Pp3/4P3/R1K5 w - - 5 132,h8b2
8/7k/P7/K4R2/6R1/8/8/8 w - - 19 132,f5h5
rnb2bnr/2p1q1p1/2kp3p/pp6/QPPp2P1/4P3/P2P1PR1/RN1K1BN1 w - - 0 18,a4b5
r2k1b1r/3n1n1p/p4q2/PQ2Npp1/2pp4/1P4KP/R2P4/2B2R2 w - - 3 29,b5d7
4r2k/8/2n1p3/8/PP3p1B/2pB1K1P/8/6R1 w - - 7 74,h4f6
4k3/8/6Pb/ppB2p2/5P2/4pB2/4K3/3R4 w - - 1 77,f3c6
1K6/4R3/bN1k1B2/8/1P2nN2/8/8/8 w - - 11 91,e7e6
6B1/2r2QB1/2kpN2n/p1p4P/q1P3PR/nP1P1b2/3K4/8 w - - 7 53,f7c7
4Q3/5P1k/8/pPN1r3/3p1B2/2nP1r2/6R1/6K1 w - - 10 83,e8g8
7k/2Q5/5R2/P3PP2/8/2p5/R3K2N/2r3BB w - - 7 92,f6f8
1nbqkbnr/1pppp2p/r3P3/6p1/p7/PP1P3p/2P2P2/RNBQKBNR w KQk - 0 9,d1h5
2r2R2/2Nn2kr/6pn/p3P2R/P2p2p1/8/NPPb1K2/8 w - - 0 55,c7e6
1rbqkbnr/ppppp2p/2n2p2/6p1/4P3/NP1P4/P1P2PPP/R1BQKBNR w KQk - 0 5,d1h5
8/8/2p1Q3/8/8/8/K7/6rk w - - 11 167,e6h3
4N1Q1/8/7k/5P2/8/p2p4/8/6K1 w - - 1 100,g8g6
3rr3/7R/3pk1p1/3nP3/P7/1pp2Kp1/6B1/4R3 w - - 6 46,g2h3
5k2/7R/n1R5/2p2p2/p1Pp4/P1pK4/5b2/1N4N1 w - - 1 51,c6c8
r1b1k1r1/2pp1p2/p4Ppp/1p6/4p3/QPBPn2N/P1P1PPBP/R3KR2 w Qq - 0 24,a3e7
8/8/5B2/k2N2p1/2Q4P/6b1/3n4/7K w - - 18 114,f6c3
NN1k4/2r4p/P5p1/1p1P4/3pPQ1n/3P3b/P4PR1/R3KB2 w Q - 1 42,f4f8
2B1k2n/4r1P1/3b4/2Pp2np/p4p1P/8/4N3/4K2R w - - 0 44,g7g8q
1n3kn1/q2p4/r1bbQ1B1/ppp3pp/2P2P2/PPN1P2P/1R1PN2R/2BK4 w - - 0 30,e6f7
7k/2R5/4PP2/8/2p5/8/4K2B/RN6 w - - 3 95,a1a8
2qn1bn1/rp6/1PQpppp1/5k1r/p1p2P1p/P1PP3P/4bK2/R1B2NR1 w - - 4 33,c6e4
2r3nr/ppp1pp1k/5Rp1/1q1p3p/Pn1P1B2/8/1PPQPPBP/1N2K2R w K - 4 21,f6f7
5Qnr/7p/1pkP4/1N2p3/PBp1K1P1/5n1p/4P1B1/3R4 w - - 1 44,f8c8
1n6/rb1n3r/2kp3P/pNp3p1/3QP2N/2P4P/RB1P1Rq1/2K2B2 w - - 3 49,d4d6
4b1k1/Q7/p3R1p1/P1N3Pp/8/4B1N1/1P6/2K5 w - - 1 53,e6e8
r7/1p3p2/2Pq1n2/3kp3/B2p1p2/2R2P2/PB6/1R5K w - - 0 62,a4b3
8/6R1/4NB2/8/8/8/k1K3b1/8 w - - 77 187,g7a7
3k4/4r3/p3P3/1p5p/1PP1N2P/P5Q1/R1p5/b4K2 w - - 2 59,g3b8
rq1k2nr/2p5/pNQ5/3P1Pp1/6Pp/R6P/5KR1/r4B2 w - - 2 49,c6d7
1r5b/8/2PQ1p2/3r1k2/5PRp/5N1P/8/7K w - - 9 95,d6d5
r1bk4/4R2r/1Pnbpqpn/3pN2p/2p5/1PP1P2P/3PK2R/1N1Q4 w - - 9 27,e5c6
8/5b2/p1B3rp/k1PP1pp1/5PR1/3K2bQ/1N6/2B5 w - - 6 80,c1d2
7Q/1n2k3/3n2B1/5P2/7P/8/K1R5/6R1 w - - 3 120,c2c7
2rqkbnr/pb1pp3/2p5/1p3PQp/1n4PP/3P1P2/PPP3B1/RNB1K1NR w KQk - 1 14,g5g6
2rk1r2/1p6/1p2np2/3nQP1B/N7/3pR2p/PP4P1/R4NK1 w - - 1 37,e5d6
3k2b1/2R5/p7/P6p/7K/5p1B/5N2/4R3 w - - 5 95,c7c8
r3k3/p7/1pP3p1/4q1Br/P1Qp4/4P1p1/1P2K3/4RBR1 w - - 3 52,c4g8
1nbq1br1/3pk2p/rp4pn/pp2p3/3Q2P1/PB2BP2/1PP1P2P/3RK1NR w - - 0 17,d4e5
5Q2/3k1N2/1p3R2/3P3P/1r6/n7/3n1K1N/5bB1 w - - 1 66,f8d8
kr6/8/3P4/3P4/5RP1/1R6/1p1K2P1/1B6 w - - 15 72,f4a4
1nR3n1/r2k2r1/pq1p1bQ1/3Pp3/1p5P/3P1P2/P2N1BP1/4KBR1 w - - 3 30,g6e8
r3k2r/p1ppbp2/3P4/4p1Qp/PpP3nP/4N3/1P1NBPP1/R1BK3R w kq - 11 26,g5e7
7r/6kr/2Q5/p4p1P/P1BPN2p/3R3R/1N3K1b/B7 w - - 0 55,c6f6
2k5/3r4/1B6/6bp/2P4p/2p2QP1/5KB1/3bN2R w - - 10 63,f3a8
1R6/4R1KN/7P/2k2P2/8/3R4/8/8 w - - 7 157,e7c7
7k/5PR1/1P6/P7/6p1/7r/8/2K5 w - - 1 119,f7f8q
k7/5b2/P4P2/5r1p/7P/4B3/6K1/3R4 w - - 13 95,d1d8
8/1R5B/p4k2/2R5/5P1p/6n1/3b4/1N1K4 w - - 6 127,c5c6
2rqkbn1/1b1np1p1/1ppp1p2/pN4B1/PPPP4/4Qr2/4P2P/R3KB1R w KQ - 0 18,b5d6
5k2/R7/7r/1P2n3/3R1B2/6Np/1K6/8 w - - 10 103,d4d8
1r4n1/5k2/2bb3B/1prpQP2/p1p1P3/PN4P1/R1K2P2/4N2R w - - 1 45,e5e6
1qN1Q3/1k6/8/1P6/3R1P1p/1p3K2/bB6/8 w - - 5 83,e8c6
8/R4P1k/6p1/p1BB4/P2N1K2/2NP1n2/8/6R1 w - - 3 64,f7f8q
4kbr1/3p3R/rQ6/p3pp2/p2n1NP1/P1K4B/4P3/1RB5 w - - 1 32,b6b8
r7/p1B1p2p/2q2P1P/1p1Pn1n1/1P1kPQ2/PR1P1P1b/4r3/1N1K1R2 w - - 5 42,c7e5
r1b4r/p1p1n2q/Pp5k/1N1Q2pp/P2p4/5NB1/1R1KPPPP/5B1R w - - 2 34,d5g5
3nk2r/1N3R2/2p5/Pp4p1/1Pb5/8/4p1P1/2K1B3 w - - 4 86,b7d6
bn2n3/3r4/1PpP1r1p/2NkPp2/3PR2b/p5PB/P7/R3KNB1 w - - 5 52,f1e3
3R3R/1Pk1r3/2p1p3/3PP1p1/B7/N6b/2Kb4/2B5 w - - 7 69,b7b8q
2bk1bnr/2q1p1R1/8/p1Np3p/2PP1Q1P/p4P2/3N4/B2K3B w - - 3 38,f4f8
2R3n1/7r/3k1P2/ppp5/3nK1B1/R7/6PP/2B3NR w - - 3 42,c1f4
2k5/p4Q2/P7/4N1B1/6b1/2p5/8/1K6 w - - 1 85,f7b7
rqb2knr/3p1pbp/ppp2Qp1/2N1p3/1nP1P3/P4N2/1P1P1PPP/R1B1KB1R w K - 2 12,f6d8
qr1b3k/2p4p/2B4P/5b2/p4NP1/RP3P2/1P1P4/2BKR3 w - - 1 35,e1e8
8/1R6/2B5/2P5/4K3/7p/Q7/4k3 w - - 10 133,b7b1
rnbqkbnr/pp1pp1p1/5P2/2p4p/P1PP4/8/1PQ1PP1P/RNB1KBNR w KQq - 3 9,c2g6
2k5/1R6/4N3/p1P5/P7/1R6/8/3K1b1r w - - 7 85,b7c7
1nbqkb1r/rp1pnp1p/2p1p3/pN6/3PPp2/5N2/PPP2PPP/R2QKBR1 w Qk - 4 8,b5d6
2Q4r/4nk2/7p/6Q1/Pr3p1P/2N2P1b/2R2KR1/8 w - - 1 61,g5g7
1r2k2r/Qp3pp1/3R1P2/p3p3/n2PP3/7n/R1p3P1/1qB1K3 w - - 1 33,a7b8
rnnk3r/3p4/p1P4b/4Q1p1/4P3/2P3PP/NP1P1K2/1RB2BRb w - - 1 32,c6c7
7R/1nk3p1/3p1b2/3Pp1NP/rQ5B/PR2n3/2q1PK2/2N5 w - - 1 52,b4b7
8/7p/7P/8/k2K2R1/2Q5/8/8 w - - 5 118,d4c5
r4b2/pR5r/2k1b3/B1ppq1pp/P2pP1PP/NP2P3/3RQ3/4K3 w - - 0 46,e2a6
k2N4/8/3P2N1/2P2n2/8/5K1P/1Q6/4q3 w - - 5 81,b2b7
6Q1/4k2N/1R6/2P4P/K7/6p1/8/8 w - - 0 101,b6b7
4k3/8/4K3/8/8/8/7R/8 w - - 81 205,h2h8
1B3k2/p4P2/2b3K1/7P/p1r5/8/8/8 w - - 7 101,b8d6
1Q6/2b1Nr1k/2Ppb3/p3B3/P1Pn1r1P/RP1KP3/8/8 w - - 1 59,b8h8
3n2Q1/8/P6k/2P5/4p1P1/b1R5/7r/R2B1K1N w - - 1 88,g4g5
2k1N3/2P2R1n/8/2PB2bp/8/6NK/1p6/B6b w - - 0 88,e8d6
3R3R/2kn4/R5pN/1R6/2p1P2p/2p5/6Q1/4K3 w - - 2 88,d8c8
6nr/6b1/2p1bkpp/1p1Qp3/1nPPqN2/P3B1PN/6BP/2R1K2R w - - 1 37,d5e6
1nbqkbnr/rp1pp3/5p1p/B1p4P/3P1Pp1/3Q2P1/PPP1P3/RN2KBNR w KQk - 1 10,d3g6
1Q3r1k/8/2Nn2B1/1PpPb3/P1N4P/6pp/2K5/8 w - - 7 68,b8f8
4k3/1n1qr3/7Q/p2p2Np/8/N3P1P1/1rP2P1P/R2K3R w - - 1 38,h6h8
6k1/3R4/4P2p/N6P/1R1r1p2/8/3r4/4RK2 w - - 3 71,b4b8
2B5/1P1P1r2/k2P4/8/7p/2B4P/1K6/8 w - - 3 117,b7b8q
r1R5/1R6/6k1/B7/5KP1/1PP2n2/p3PP2/5BR1 w - - 2 58,c8c6
1n1k2nr/2p1b1pp/r2N4/4p1p1/QPb1P1q1/N1PP4/P4P2/R3KB1R w KQ - 0 21,a4e8
1r2k3/8/4P3/bR5R/1Bp1P1P1/8/1K6/2r5 w - - 4 69,h5h8
1k2r3/8/1P6/2b1R2p/2P5/pP1B4/6QR/2K5 w - - 3 64,e5e8
rn1q1bnr/p1ppkpp1/1p6/1b2pQ1p/2B1P3/8/PPPP1PPP/RNB1K1NR w KQ - 0 7,f5e5
8/6n1/6P1/k7/4p3/1R2P1K1/6R1/2B5 w - - 0 118,g2a2
r3Q3/2p5/3k4/p1b1pP1p/1n1P3P/N2pBNr1/1P3K1P/1R1R4 w - - 7 40,e8e6
2R2N2/4nk2/P1qpp1pP/8/4QP1P/5P1K/3P2BR/b7 w - - 1 41,e4e6
rnb2r2/1p2Q3/p1q4p/k3p2P/2pPP1P1/P1P2N2/BB3PR1/R1N1K3 w - - 4 37,e7b4
1N2k3/2p1q3/2N1Q3/Pp3p2/1pN1P3/3n4/1R1K4/6r1 w - - 7 62,e6e7
3r1knr/3np1b1/1Q4P1/1p1q1p1p/1P6/P1PPP2R/N6P/R1BK4 w - - 3 33,b6d8
8/N4kr1/1p5Q/p4p2/P2N3p/B2pP3/8/5K2 w - - 0 58,h6e6
8/R7/8/8/2N5/5K2/8/4k3 w - - 87 180,a7a1
r1b2b1Q/qp6/2n1k3/p3Ppp1/P1pR4/3p4/3BB2P/3K1NNR w - - 4 39,h8f6
3rb1rq/1p6/1bk2n2/p2ppp1p/PBNn1PpN/1P1QP1P1/7P/2RK1B1R w - - 2 33,c4e5
8/6Q1/4p3/3RK2k/8/p4Pp1/1p2b3/2R5 w - - 2 67,c1h1
5kn1/2p5/2PNp3/1B3p1Q/p2p3P/p1P1PP2/P2NK3/2R3r1 w - - 0 45,h5f7
1k6/8/1P6/3Br3/2p3p1/8/P5KB/5R2 w - - 0 89,f1f8
1rb1kN2/3RPp2/1p3P2/2b5/1R2P2p/6rP/8/2K2B2 w - - 0 56,d7d8
4k3/5b2/3R4/8/8/KQ3R2/N7/b7 w - - 29 126,b3f7
rn2kbr1/2q2p1p/p2Qp3/p4Pp1/1p4NP/R1P1B2P/4PKB1/1N4R1 w - - 1 21,g4f6
8/7R/1R6/8/8/8/4K3/6k1 w - - 31 182,b6g6
4kn1r/r5p1/3pP2p/1N3pB1/2b5/7P/1R3K2/1n3BR1 w - - 6 44,b5d6
5B2/8/Q7/7B/2R5/8/1k1K4/8 w - - 8 148,c4b4
rnq3n1/4pbb1/2Ppk2p/p5p1/3P1PP1/1pP2N1P/2Q1P1BR/1N3K2 w - - 0 28,c2f5
5R2/n6k/7P/p4K2/P7/3p4/RB2N3/2b3r1 w - - 0 71,f8h8
4k1b1/5r2/1p2p3/pPpQ2B1/P1P2Pp1/N2P3p/4K1RP/R7 w - - 3 71,d5d8
1nbqkbnr/2ppp3/r4p1p/pp4p1/P1PPPP2/6PP/1P2B3/RNBQK1NR w KQk - 0 9,e2h5
2kr1br1/p1pn2pp/3qppP1/1Q6/1P1PBP1n/8/PBPPKRb1/RN4N1 w - - 3 20,b5b7
1Qr5/1B1k3p/p4bp1/1P4P1/2pP1pnP/B1P2P2/1R6/1b2K3 w - - 1 71,b8c8
R7/8/8/8/8/5K2/8/5k2 w - - 3 183,a8a1
1n2k2r/rb1p3p/5Q2/1pq3b1/p1P3B1/P7/1P1NPP1P/R1B1K1R1 w Qk - 1 21,g4h5
1r1kq1nr/1b2n2Q/1p2Bb2/B2pp3/P1pP4/2P1P1P1/4NK1P/1NR5 w - - 5 31,a5b6
1b3Q2/5n2/4N1k1/5p1p/2bp1p1P/4RN2/3K4/3QR3 w - - 2 78,f8g7
2B4B/4B3/5r2/p2pk3/P2R2P1/2p1p3/8/4K3 w - - 1 60,h8f6
bk2r3/3R1Q2/5p1b/p1P2P2/P4P1p/R1N1p1rP/K1P5/2B5 w - - 0 42,f7e8
rnbqk2r/1pppnpp1/p3B1Q1/b3p2p/3P3P/4P1P1/PPP1KP2/RNB3NR w q - 8 11,g6f7
8/8/8/8/8/6R1/8/k1K5 w - - 75 203,g3a3
7k/3rR3/8/p1P2P1p/7P/p7/5KQ1/8 w - - 2 87,g2g7
3qr2b/2pp4/b3Npp1/1r1npP2/1P2k2p/6P1/P2PKR1P/RNB5 w - - 7 31,d2d3
4br2/n1r2k1q/3pppp1/p1pN4/2P1PPP1/6RQ/Pp1K4/RNB2B2 w - - 1 42,h3h7
5n1k/2N5/5Nb1/P3p3/1Q1pP1Pp/3P3P/R3B3/2bK4 w - - 7 57,b4f8
7R/3k1n2/8/3PB3/2R2p2/1p1N3p/5N2/4Kb2 w - - 0 71,c4c7
3n4/4R3/rn1p1pkr/3b2pp/1PP2PP1/1P5B/3B1NRP/3K4 w - - 4 43,f4f5
5kq1/1rp1b1p1/1p1p1p2/pQ1Pp2B/P1P2N1n/N6P/1P1P1P2/R1B3K1 w - - 1 31,b5e8
2k5/2n5/1n1P1pN1/1N3P1p/7P/1pQ1PK2/p2B3r/8 w - - 2 90,c3c7
3Q2R1/1k6/8/3PP3/2N4p/P2R4/1p6/1B5K w - - 3 97,d8b6
k5n1/8/N7/2B1P2P/8/1K6/5P2/3B1b2 w - - 1 81,d1f3
5R2/2B5/4b3/8/k2N4/2P5/2P5/4K3 w - - 41 146,f8a8
6RQ/8/8/2P2k2/1p6/8/5K1n/B7 w - - 6 107,h8e5
3k2bQ/8/1PP2K2/4p3/4P3/8/8/1b6 w - - 1 112,h8g8
4N3/4Q3/2N5/8/k7/8/8/7K w - - 15 179,e7b4
B3r3/6p1/1k1rp1P1/4Pp2/1PppQ2p/NP3Rbb/3RK3/2B5 w - - 2 49,e4b7
rnb1Qb1r/3p2p1/qp1Bp3/pB1k3P/PP6/2p2P2/2P2NPn/R3K1NR w - - 4 26,a1d1
5kn1/1rqp2p1/np2Q2r/2pb2b1/PB3P1P/1P1PR3/2PKP3/RN4N1 w - - 1 29,e6e8
1rb1nb1r/1p3p1p/4p1k1/p2pn1p1/1P3QP1/P1P2N2/R3KP1P/1NBR4 w - - 9 24,f4g5
r2N2kr/1q5p/6NP/p1ppnR2/3P4/6P1/P2nK3/8 w - - 1 52,f5f8
rnbq1b1r/p1pp1p2/3kpnpp/1p5Q/2PPP3/PP2B3/5PPP/RN2KBNR w KQ - 0 8,h5c5
2bqkb1r/prppp2p/1p3n2/4NPp1/1n1P4/1QP5/PP2PP1P/RNB1KBR1 w Qk - 5 9,b3f7
2r3qr/B2k1p1p/nppP2R1/5P2/B1P5/7R/3PQ3/4bK2 w - - 5 41,e2e7
7b/q5rp/1pp2k2/r3R1pP/1nPPP3/nP5N/1B1Q2K1/8 w - - 0 51,d2f2
Q7/4q2p/1r2k1pP/1pnpPp2/2p3Rb/1PP4N/3PP1BP/RNBK4 w - - 3 31,a8d5
r5n1/1bbn4/2k1p2r/2B4P/3P1PP1/2N5/1QP1K1R1/R5N1 w - - 3 48,b2b5
4N3/8/P1B5/2R5/8/8/7R/k5K1 w - - 9 109,c5c1
2b2RN1/4b1k1/2Q5/P3P3/P4n2/N6p/1Kn5/8 w - - 0 84,c6h6
8/4R3/KR1PNk2/1PQ5/1r6/4pp2/2p5/8 w - - 2 80,c5g5
1nb5/r1p2p2/p3p3/n3Q1pr/1PkPp1P1/2B4P/q1P1P1KR/5B2 w - - 1 43,e5c5
1k6/n7/8/pPBBPp2/P3bK2/2Q4P/5R2/R7 w - f6 0 60,c5d6
2b1RQ2/5r2/8/pB3k1p/P4P1P/2P2P2/8/3N1K2 w - - 16 111,f8f7
R1nkbn2/8/5P2/4p2r/2Q1PB2/3B4/5K2/6rR w - - 5 75,c4c8
6nr/4Rpk1/3R3p/qpn4B/r2P1p2/3P3K/P5PP/1N6 w - - 2 52,e7f7
8/Q6q/2r4P/1k2Pp2/1PpP1K2/8/1P4R1/8 w - - 13 73,a7a5
4rk1r/3Q1b1R/p3BnP1/B5P1/4p3/RPP5/4Np1K/8 w - - 2 41,d7f7
r1br4/5Q2/1pnpp2k/p2q2pP/P1PnP2P/N7/R1P4K/4R2B w - - 1 40,f7g6
2k5/8/PP6/3P4/B6K/5R1p/8/8 w - - 1 118,f3f8
rnbqkbnr/1pppp3/p6p/5p2/4P3/1PPP4/P2K1pPP/RNBQ1BNR w kq - 0 8,d1h5
Q1nk1n2/2p5/4Q3/p3P2K/P2p3P/2R1b1B1/4P2P/5BNR w - - 1 46,a8c8
8/8/4pN1k/2r1b3/P7/p1P4p/2B3R1/3K4 w - - 0 79,g2g6
B7/1K1k1Nn1/3b3p/2P5/1p1P2P1/p7/8/4R3 w - - 7 79,c5c6
5b1r/3kP2n/b1r2p1p/p3Q2p/1P5P/1P3KP1/3PN1R1/R1B5 w - - 1 32,e7e8q
k7/8/PP5p/7P/r3nRp1/8/7K/1NB2B2 w - - 2 90,f4f8
4k2B/6P1/2PK4/8/8/8/8/8 w - - 9 175,g7g8q
8/2r2p2/p6R/5k2/r3n2P/b4K2/b1B5/B1q5 w - - 6 56,h6f6
5k2/1R6/5Np1/3Pp1P1/7p/4KP1P/3Bb3/6R1 w - - 7 69,d2b4
4k3/7p/5Q1P/2b5/8/8/3K4/7B w - - 2 117,h1c6
7k/2p5/2P3K1/1q1Qb3/5P2/8/8/8 w - - 67 142,d5d8
8/5B2/7p/1b2R3/5K1k/1p2p3/8/8 w - - 0 112,e5h5
7n/8/P4BP1/3Q1P2/6k1/4R3/7p/1N5K w - - 3 132,d5f3
8/8/8/k7/7P/8/1R6/3R2K1 w - - 3 115,d1a1
rn3b2/1p1bk3/p1p2q1p/2PpP2B/NP3Qp1/3PP2N/P5PP/R1B3Kn w - - 1 22,f4f6
7k/2R2Q2/8/4P1q1/6Pp/8/1B6/4b1K1 w - - 10 97,f7h7
Rq2kb1r/2p1pp2/2P4p/1p4p1/3pb3/BP1P1NP1/2QPKPR1/3N1B2 w k - 3 20,a8b8
r4qr1/b1p3pn/2b3kp/1p1p1p2/2NP1PPQ/1nP1P3/P2BN2P/4KBR1 w - - 2 25,c4e5
r7/r4p1p/pb2k3/n4N1P/bp1RBPP1/PP2p3/2P5/1RBQK3 w - - 4 35,d4d6
r4bnr/pbp2Bpk/7p/1p1pp1P1/q2nP2P/2N2p2/R1P2P2/1QB2KNR w - - 0 32,g5g6
rnbQ4/2pr4/3k2pp/bp1p1n2/p1R2K2/P6N/1B4p1/R7 w - - 8 46,d8f6
2r5/8/2N1k1NQ/p2n4/Pp2K1b1/1P4p1/1P6/5R2 w - - 8 50,g6f8
4N1nr/Q4q1k/7p/3P4/6p1/1P2b1PP/P7/4K3 w - - 9 53,a7f7
2r1kb1r/p3p3/np2Q1pp/1P1p2N1/5BPP/2K5/b2NPP1R/2R2B2 w - - 1 26,e6c8
brk4r/3n2P1/p2Q4/1p5p/4P3/P1p3B1/1PP1K3/1N2R3 w - - 2 40,d6c7
3n2R1/1rp1kp2/4qn2/p3P3/P1P4p/3QP2b/8/RN2KB1R w - - 2 35,d3d8
6kr/1R5p/3P1p2/p1p3p1/Q1P5/4P2b/1P1BK1Bn/N3N3 w - - 0 60,a4e8
6RB/4k3/P6N/2prP3/P3PnBP/2p2K2/8/2R5 w - - 1 74,h8f6
r7/pQ6/7k/p2p3N/6PP/1B2pn2/1B6/1N4RK w - - 1 47,b7g7
q1r1n3/p1pn3p/1p1kpp1P/5B2/b2P1p2/PP3N2/1B1bQ1P1/R2K1R2 w - - 4 41,e2e6
1rbk1bnr/p1pp2p1/np1Q4/4PpN1/PP3BPp/4P3/2P2PBP/RN2K2R w KQ f6 0 13,d6f8
1B2bk2/8/2P4p/R7/2BP4/2P1N3/1N4R1/4K3 w - - 9 58,b8d6
3n1k2/8/3R1PB1/2P5/3Nn2p/8/8/1NK5 w - - 1 74,d6d8
2b1kn2/4B1RN/2pP4/7p/Pp2P2P/2NK4/5R2/Q7 w - - 0 64,h7f6
r1bqkb1r/p1pppp1R/2n2n2/1p4P1/2B1P3/8/PPPP1PP1/RNBKQ1N1 w k - 3 9,c4f7
1N2k3/1b6/2NQ2p1/4p2n/7P/4B2K/2r5/8 w - - 16 82,d6e7
r1b1k2b/n2pr2p/p2B2p1/1p6/1P6/1N2Q2N/P1P1PPPR/R3KB2 w q - 7 20,e3e7
1n1k2nr/R5p1/q1P5/p3b2B/3P3K/8/p1p2R2/8 w - - 1 58,f2f8
2r2n1k/7r/6R1/2P2p1p/1qBRP2p/5K1P/5P2/8 w - - 4 65,g6g8
4k3/8/8/2B5/2p4Q/p7/1RK5/8 w - - 2 87,h4e7
r2k4/5R2/R5p1/6p1/2p3P1/2p5/8/K7 w - - 6 96,a6a8
1k6/pB3R2/P5R1/nr4P1/7P/3p4/P4B1K/8 w - - 7 63,g6g8
nqb1R3/3r3r/R6p/2N1pPnP/1pkP4/2p3p1/2N1P3/3K1B2 w - - 0 59,e2e4
r1b1qbnr/pppkp2p/n5p1/P2p1p2/1P1P1P2/1QP1P3/6PP/RNB1KBNR w KQ - 2 10,b3d5
4k3/3R4/1N2P1N1/6P1/3P2Bp/p6P/5K2/2R5 w - - 0 69,c1c8
r2q2r1/pb1pkp1R/6P1/PNp5/1P2P1n1/1Q1B4/3n1N2/B3K3 w - - 3 42,b3f7
6B1/1N3R2/1P4nk/4P2p/4P2P/5pP1/3p4/1K6 w - - 0 86,f7h7
2Nrk1BR/1r6/np4P1/p1p3p1/P7/1Ppp1p2/4bP2/R3K3 w - - 3 45,g8e6
6k1/3R4/5r2/6p1/P1R1P2p/1B5P/b1N5/3Kn3 w - - 8 69,c4c8
4k3/3p1p2/4pP1K/p2nP3/2P3PP/8/3P4/1Rb5 w - - 6 46,b1b8
3k2B1/8/p2P4/2P2B1n/1R3BPP/3p4/8/6Kb w - - 1 81,b4b8
2k1r3/Q4pn1/1p6/3NpP1N/P7/K2P1P2/7p/7n w - - 2 57,a7c7
3k4/r1qpb3/1pnN1Qpr/p1pb2Bp/P1P1p1nP/1K2R3/NP2PPP1/R4B2 w - - 6 29,f6f8
5r2/8/7Q/p1pNkP2/2PnP2p/8/7K/7B w - - 8 93,h6f4
8/8/8/1R6/8/2Nn1K2/7p/k7 w - - 1 115,b5b1
4rknr/2p1pq2/p4Qp1/3PNb2/P1nPP1Pp/1B5P/1PK5/R1b4R w - - 4 33,f6f7
4n3/Q7/3N2rk/2P2bbp/pp4p1/6R1/R2N4/3K3B w - - 1 51,d6f5
r1bqkb1r/pp2ppp1/n1ppP3/7Q/5Nnp/8/PPPPBPPP/RNB1K2R w KQkq - 0 8,h5f7
8/4B3/P7/4p2N/2k3P1/p2p2Q1/P2K4/8 w - - 2 78,g3d3
2k5/2r2R2/pb6/6P1/Ppp1Q3/4P1P1/1PpB1K2/1B1R4 w - - 0 50,e4a8
rnbk2nr/p4p1p/B5p1/3p4/4p1Q1/Bp2PPPP/P1P2K2/bN4NR w - - 0 23,g4c8
7k/4R3/8/8/5P2/R7/7K/3b4 w - - 9 160,a3a8
1n3rbb/k5np/3B2p1/p3Pp2/3P3P/NPPQPBPR/8/2N1K2R w - - 12 42,d6c5
r7/k7/p5P1/P2P1n2/2p4b/3B4/7Q/5K2 w - - 2 89,h2c7
1N1k4/8/8/1Qr5/1Bp3Pp/N1K1pp1P/bR3PR1/7B w - - 8 72,b5d7
5r2/p2p4/n2PpkpQ/1P6/2B2P1P/5N2/7K/b1N4R w - - 7 43,h6f8
2b1k3/2qp4/p2P3p/1P2bP2/2P1K1QP/p7/Pr6/4n3 w - - 3 59,g4g8
1n2kbB1/2pb1r2/Q1Np2p1/1N6/1P2Pp1p/2PP1p2/1RKB2Pn/5R2 w - - 8 34,b5c7
5n2/R5Pk/2p1P3/1b5P/3PnP2/8/6N1/4B1K1 w - - 0 79,g7f8q
3k4/6b1/R2BP3/7p/7P/6R1/5P1K/3r4 w - - 1 95,a6a8
r1bq1kn1/1p1pb3/pPn3Qr/2p2pp1/2P1Pp2/P5P1/1B1P3P/RN2KBNR w KQ - 0 13,b2g7
